CiaCod,CiaNom,CiaRUC
110050,Skibox,12902020110
110027,Npath,12902020119
110017,Jamia,12902020152
110021,Skaboo,12902020130
110070,Skyble,12902020154
110031,Jetpulse,12902020187
110021,Linkbuzz,12902020113
110073,Browsezoom,12902020138
110060,Photojam,12902020135
110005,Oyoba,12902020142
110066,Jabberbean,12902020135
110005,Oodoo,12902020147
110041,Yodo,12902020102
110055,Kwilith,12902020179
110026,Yodoo,12902020109
110028,Voolith,12902020149
110070,Podcat,12902020162
110033,Geba,12902020170
110028,Tagchat,12902020124
110011,Flashpoint,12902020181
110043,Gabspot,12902020108
110018,Innotype,12902020112
110005,Npath,12902020169
110043,Jamia,12902020112
110026,Quatz,12902020165
110046,Eare,12902020149
110010,Abata,12902020117
110054,Thoughtstorm,12902020128
110015,Jazzy,12902020163
110042,Realmix,12902020152
110019,Topdrive,12902020154
110080,Zoonoodle,12902020135
110034,Fatz,12902020176
110038,Photobug,12902020143
110072,Devcast,12902020142
110002,Demimbu,12902020122
110033,Rhyloo,12902020102
110059,Devbug,12902020159
110048,Cogilith,12902020147
110048,Pixoboo,12902020110
110079,Bubblemix,12902020183
110055,Skilith,12902020174
110046,Einti,12902020133
110016,Skipfire,12902020157
110069,Plajo,12902020172
110040,Edgeclub,12902020132
110034,Riffpedia,12902020151
110073,Kwilith,12902020116
110018,Divanoodle,12902020149
110023,Realbridge,12902020175
110015,Dynabox,12902020176
110007,Blogpad,12902020148
110066,Camido,12902020138
110043,Wikizz,12902020131
110061,Flashpoint,12902020167
110062,Bluezoom,12902020182
110076,Mynte,12902020147
110002,Skiba,12902020136
110041,Youfeed,12902020159
110066,Realcube,12902020184
